iter	Passed	Remaining
0	145	14429
1	151	7424
2	156	5048
3	160	3842
4	163	3108
5	167	2624
6	171	2274
7	174	2008
8	178	1808
9	182	1641
10	185	1503
11	189	1390
12	193	1296
13	197	1210
14	200	1136
15	204	1074
16	208	1016
17	211	964
18	215	918
19	219	877
20	222	837
21	226	803
22	230	772
23	235	745
24	238	715
25	242	689
26	246	665
27	249	641
28	253	620
29	257	600
30	261	582
31	264	562
32	267	542
33	269	522
34	271	503
35	273	485
36	274	467
37	276	450
38	277	434
39	279	419
40	280	404
41	281	388
42	282	374
43	284	361
44	285	348
45	286	336
46	287	324
47	289	313
48	290	302
49	291	291
50	292	280
51	293	270
52	294	261
53	295	251
54	296	242
55	297	233
56	298	225
57	299	217
58	301	209
59	302	201
60	303	194
61	304	186
62	305	179
63	306	172
64	308	165
65	309	159
66	310	152
67	311	146
68	312	140
69	313	134
70	314	128
71	315	122
72	317	117
73	318	111
74	319	106
75	320	101
76	321	96
77	322	91
78	323	86
79	324	81
80	326	76
81	327	71
82	328	67
83	329	62
84	330	58
85	331	53
86	332	49
87	333	45
88	335	41
89	336	37
90	337	33
91	339	29
92	340	25
93	341	21
94	342	18
95	344	14
96	345	10
97	346	7
98	347	3
99	348	0
